Date,Open,High,Low,Close,Volume,Ticker
,AAPL,AAPL,AAPL,AAPL,AAPL,
2024-04-01,170.16231728997553,170.22195467216173,168.46257606173032,169.00927734375,46240500,AAPL
2024-04-02,168.06498070773253,168.32341441545842,167.2200773611407,167.826416015625,49329500,AAPL
2024-04-03,167.7767233727702,169.6553768320082,167.56799252573734,168.63156127929688,47691700,AAPL
2024-04-04,169.2677258236611,170.88794562795422,167.8065643310547,167.8065643310547,53704400,AAPL
2024-04-05,168.5719309687928,169.36713152382467,167.9357735582051,168.56199645996094,42055200,AAPL
2024-04-08,168.01531709565919,168.18429477102626,167.23006611398964,167.4387969970703,37425500,AAPL
2024-04-09,167.6872804964856,169.05900112515698,167.33939066831408,168.65145874023438,42451200,AAPL
2024-04-10,167.78667770328389,168.0749301271986,166.1068205360595,166.77279663085938,49709300,AAPL
2024-04-11,167.3294357885208,174.4067040844594,167.1505236254001,173.9892120361328,91070300,AAPL
2024-04-12,173.21389665591335,177.28929006742356,173.16420894399843,175.4901580810547,101593300,AAPL
2024-04-15,174.30729011068368,175.56967037066977,171.46445848220424,171.6533203125,73531800,AAPL
2024-04-16,170.71895735574867,172.71688554496447,167.2598525976239,168.36318969726562,73711200,AAPL
2024-04-17,168.5917904626445,169.6255404157564,166.991455078125,166.991455078125,50901200,AAPL
2024-04-18,167.02129381245496,167.62763251332663,165.55018268321453,166.0372314453125,43122900,AAPL
2024-04-19,165.21223390744998,165.40108058085156,163.09501562510533,164.00949096679688,67772100,AAPL
2024-04-22,164.52636553527142,166.2559103754066,163.78086788564391,164.8444366455078,48116400,AAPL
2024-04-23,164.35737315952596,166.04716464714997,163.9299466584378,165.89805603027344,49537800,AAPL
2024-04-24,165.54024770277562,168.28368903028098,165.2122420517991,168.00537109375,48251800,AAPL
2024-04-25,168.51227772975648,169.58579610298705,167.14055728054169,168.8701171875,50558300,AAPL
2024-04-26,168.86018085141623,170.31140768247312,168.16437095925713,168.28366088867188,44838400,AAPL
2024-04-29,172.32924112310414,174.97327656975762,172.06087287514865,172.45846557617188,68169400,AAPL
